"Line";"Reward Date";"Investment Amount";"Reward Amount";"Total Reward Amount To Date";"Staking Reward Rate"
"1";"23/01/2023";"25.000000";"0.205479";"25.205479";"10.00"
"2";"23/02/2023";"25.205479";"0.207168";"25.412648";"10.00"
"3";"23/03/2023";"25.412648";"0.208871";"25.621519";"10.00"
"4";"23/04/2023";"25.621519";"0.168470";"25.789989";"8.00"
"5";"23/05/2023";"25.789989";"0.169578";"25.959567";"8.00"
"6";"23/06/2023";"25.959567";"0.170693";"26.130260";"8.00"
"7";"23/07/2023";"26.130260";"0.171815";"26.302076";"8.00"
"8";"23/08/2023";"26.302076";"0.172945";"26.475021";"8.00"
"9";"23/09/2023";"26.475021";"0.174082";"26.649103";"8.00"
"10";"23/10/2023";"26.649103";"0.175227";"26.824330";"8.00"
"11";"23/11/2023";"26.824330";"0.176379";"27.000709";"8.00"
"12";"23/12/2023";"27.000709";"0.177539";"27.178248";"8.00"
"13";"23/01/2024";"27.178248";"0.178706";"27.356954";"8.00"
"14";"23/02/2024";"27.356954";"0.179881";"27.536836";"8.00"
"15";"23/03/2024";"27.536836";"0.181064";"27.717900";"8.00"
"16";"23/04/2024";"27.717900";"0.182255";"27.900155";"8.00"
"17";"23/05/2024";"27.900155";"0.183453";"28.083608";"8.00"
"18";"23/06/2024";"28.083608";"0.184659";"28.268267";"8.00"
"19";"23/07/2024";"28.268267";"0.185874";"28.454140";"8.00"
"20";"23/08/2024";"28.454140";"0.187096";"28.641236";"8.00"
"21";"23/09/2024";"28.641236";"0.188326";"28.829562";"8.00"
"22";"23/10/2024";"28.829562";"0.189564";"29.019126";"8.00"
"23";"23/11/2024";"29.019126";"0.190811";"29.209937";"8.00"
"24";"23/12/2024";"29.209937";"0.192065";"29.402002";"8.00"
